Goroka Airport,GKA,AYGA
Vaasa Airport,VAA,EFVA
Varkaus Airport,VRK,EFVR
Ylivieska Airfield,YLI,EFYL
Belfast International Airport,BFS,EGAA
St Angelo Airport,ENK,EGAB
George Best Belfast City Airport,BHD,EGAC
City of Derry Airport,LDY,EGAE
Birmingham International Airport,BHX,EGBB
Coventry Airport,CVT,EGBE
Leicester Airport,\N,EGBG
Gloucestershire Airport,GLO,EGBJ
Wolverhampton Halfpenny Green Airport,\N,EGBO
Cotswold Airport,GBA,EGBP
Turweston Airport,\N,EGBT
Wellesbourne Mountford Airport,\N,EGBW
Manchester Airport,MAN,EGCC
Manchester Woodford Airport,\N,EGCD
Royal Marines Base Chivenor Airport,\N,EGDC
Newquay Cornwall Airport,NQY,EGHQ
RAF Lyneham,LYE,EGDL
MoD Boscombe Down Airport,\N,EGDM
RNAS Culdrose,\N,EGDR
MoD St. Athan,\N,EGDX
RNAS Yeovilton,YEO,EGDY
Haverfordwest Airport,HAW,EGFE
Cardiff International Airport,CWL,EGFF
Swansea Airport,SWS,EGFH
Bristol Airport,BRS,EGGD
Liverpool John Lennon Airport,LPL,EGGP
London Luton Airport,LTN,EGGW
Plymouth City Airport,PLH,EGHD
Bournemouth Airport,BOH,EGHH
Southampton Airport,SOU,EGHI
Lasham Airport,QLA,EGHL
Alderney Airport,ACI,EGJA
Guernsey Airport,GCI,EGJB
Jersey Airport,JER,EGJJ
Shoreham Airport,ESH,EGKA
London Biggin Hill Airport,BQH,EGKB
London Gatwick Airport,LGW,EGKK
London City Airport,LCY,EGLC
Farnborough Airport,FAB,EGLF
Chalgrove Airport,\N,EGLJ
Blackbushe Airport,BBS,EGLK
London Heathrow Airport,LHR,EGLL
Southend Airport,SEN,EGMC
Lydd Airport,LYX,EGMD
Kent International Airport,MSE,EGMH
Brough Airport,\N,EGNB
Carlisle Airport,CAX,EGNC
Retford Gamston Airport,\N,EGNE
Blackpool International Airport,BLK,EGNH
Humberside Airport,HUY,EGNJ
Barrow Walney Island Airport,BWF,EGNL
Leeds Bradford Airport,LBA,EGNM
Warton Airport,WRT,EGNO
Hawarden Airport,CEG,EGNR
