Goroka Airport,GKA,AYGA
Malmö Sturup Airport,MMX,ESMS
Halmstad Airport,HAD,ESMT
Hagshult Air Base,\N,ESMV
Växjö Kronoberg Airport,VXO,ESMX
Hallviken Airport,\N,ESNA
Hedlanda Airport,\N,ESNC
Sveg Airport,EVG,ESND
Gällivare Airport,GEV,ESNG
Hudiksvall Airport,HUV,ESNH
Jokkmokk Airport,\N,ESNJ
Kramfors Sollefteå Airport,KRF,ESNK
Lycksele Airport,LYC,ESNL
Optand Airport,\N,ESNM
Sundsvall-Härnösand Airport,SDL,ESNN
Örnsköldsvik Airport,OER,ESNO
Piteå Airport,\N,ESNP
Kiruna Airport,KRN,ESNQ
Orsa Airport,\N,ESNR
Skellefteå Airport,SFT,ESNS
Sättna Airport,\N,ESNT
Umeå Airport,UME,ESNU
Vilhelmina Airport,VHM,ESNV
Arvidsjaur Airport,AJR,ESNX
Örebro Airport,ORB,ESOE
Stockholm Västerås Airport,VST,ESOW
Luleå Airport,LLA,ESPA
Vidsel Air Base,\N,ESPE
Arboga Airport,\N,ESQO
Stockholm-Arlanda Airport,ARN,ESSA
Stockholm-Bromma Airport,BMA,ESSB
Borlange Airport,BLE,ESSD
Hultsfred Airport,HLF,ESSF
Gävle Sandviken Airport,GVX,ESSK
Linköping City Airport,LPI,ESSL
Norrköping Airport,NRK,ESSP
Eskilstuna Airport,EKT,ESSU
Visby Airport,VBY,ESSV
Kalixfors Airport,\N,ESUK
Spangdahlem Air Base,SPM,ETAD
Ramstein Air Base,RMS,ETAR
[Duplicate] Giebelstadt Army Air Field,GHF,ETEU
Bückeburg Air Base,\N,ETHB
Celle Airport,ZCN,ETHC
Rheine Bentlage Air Base,\N,ETHE
Fritzlar Airport,FRZ,ETHF
Laupheim Air Base,\N,ETHL
Mendig Airfield,\N,ETHM
Niederstetten Army Air Base,\N,ETHN
Roth Airport,\N,ETHR
Fassberg Air Base,\N,ETHS
Grafenwohr Army Air Field,\N,ETIC
Hanau Army Air Field,ZNF,ETID
Hohenfels Army Air Field,\N,ETIH
Flugplatz Kitzingen,KZG,ETIN
Nordholz Naval Airbase,FCN,ETMN
Diepholz Air Base,\N,ETND
Geilenkirchen Air Base,GKE,ETNG
Hohn Air Base,\N,ETNH
Jever Air Base,\N,ETNJ
Rostock-Laage Airport,RLG,ETNL
Nörvenich Air Base,\N,ETNN
Schleswig Air Base,WBG,ETNS
Wittmundhafen Airport,\N,ETNT
Wunstorf Air Base,\N,ETNW
Vilseck Army Air Field,\N,ETOI
Coleman Army Air Field,\N,ETOR
Wiesbaden Army Airfield,WIE,ETOU
Landsberg Lech Air Base,\N,ETSA
Büchel Air Base,\N,ETSB
Erding Airport,\N,ETSE
Fürstenfeldbruck Air Base,FEL,ETSF
Holzdorf Air Base,\N,ETSH
Ingolstadt Manching Airport,IGS,ETSI
Lechfeld Air Base,\N,ETSL
Neuburg AFB,\N,ETSN
Gütersloh Air Base,GUT,ETUO
Alexander Bay Airport,ALJ,FAAB
Aggeneys Airport,AGZ,FAAG
Brakpan Airport,\N,FABB
Bisho Airport,BIY,FABE
Bram Fischer International Airport,BFN,FABL
Bethlehem Airport,\N,FABM
Hendrik Potgieter Airport,\N,FABO
Cape Town International Airport,CPT,FACT
Calvinia Airport,\N,FACV
King Shaka International Airport,DUR,FALE
Ben Schoeman Airport,ELS,FAEL
Ermelo Airport,\N,FAEO
Ficksburg Sentraoes Airport,FCB,FAFB
Grand Central Airport,GCJ,FAGC
George Airport,GRJ,FAGG
Graaff Reinet Airport,\N,FAGR
Grahamstown Airport,\N,FAGT
Greytown Airport,\N,FAGY
Harmony Airport,\N,FAHA
Harrismith Airport,HRS,FAHR
Hoedspruit Air Force Base Airport,HDS,FAHS
Gariep Dam Airport,\N,FAHV
OR Tambo International Airport,JNB,FAOR
P C Pelser Airport,KXE,FAKD
Kimberley Airport,KIM,FAKM
Krugersdorp Airport,\N,FAKR
Kroonstad Airport,\N,FAKS
Johan Pienaar Airport,KMH,FAKU
Kleinsee Airport,KLZ,FAKZ
Lanseria Airport,HLA,FALA
Lichtenburg Airport,\N,FALI
Makhado Air Force Base Airport,\N,FALM
Langebaanweg Airport,SDB,FALW
Ladysmith Airport,LAY,FALY
Middelburg Airport,\N,FAMB
Margate Airport,MGH,FAMG
Marble Hall Airport,\N,FAMI
Majuba Power Station Airport,\N,FAMJ
Riverside Airport,LLE,FAMN
Morningside Farm Airport,\N,FAMS
Mkuze Airport,MZQ,FAMU
Newcastle Airport,NCS,FANC
Nylstroom Airfield,\N,FANY
Overberg Airport,OVG,FAOB
Oudtshoorn Airport,OUH,FAOH
Port Elizabeth Airport,PLZ,FAPE
Plettenberg Bay Airport,PBZ,FAPG
Hendrik Van Eck Airport,PHW,FAPH
Pietersburg Municipal Airport,\N,FAPI
Port St Johns Airport,JOH,FAPJ
Pietermaritzburg Airport,PZB,FAPM
Pilanesberg International Airport,NTY,FAPN
Polokwane International Airport,PTG,FAPP
Potchefstroom Airport,PCF,FAPS
Parys Airport,\N,FAPY
Queenstown Airport,UTW,FAQT
Richards Bay Airport,RCB,FARB
Rustenburg Airport,\N,FARG
Robertson Airport,ROD,FARS
Springbok Airport,SBU,FASB
Secunda Airport,ZEC,FASC
Saldanha /Vredenburg Airport,\N,FASD
Springs Airfield,\N,FASI
Swartkop Air Force Base,\N,FASK
Sishen Airport,SIS,FASS
Hendrik Swellengrebel Airport,\N,FASX
Skukuza Airport,SZK,FASZ
Tommys Field Airport,\N,FATF
New Tempe Airport,\N,FATP
Tutuka Power Station Airport,\N,FATT
Tzaneen Airport,LTA,FATZ
Prince Mangosuthu Buthelezi Airport,ULD,FAUL
Pierre Van Ryneveld Airport,UTN,FAUP
K. D. Matanzima Airport,UTT,FAUT
Vryburg Airport,VRU,FAVB
Virginia Airport,VIR,FAVG
Vredendal Airport,VRE,FAVR
Vereeniging Airport,\N,FAVV
Wonderboom Airport,PRY,FAWB
Witbank Airport,\N,FAWI
Waterkloof Air Force Base,WKF,FAWK
Welkom Airport,\N,FAWM
Ysterplaat Air Force Base,\N,FAYP
Zeerust Airport,\N,FAZR
Francistown Airport,FRW,FBFT
Jwaneng Airport,JWA,FBJW
Kasane Airport,BBK,FBKE
Maun Airport,MUB,FBMN
Sir Seretse Khama International Airport,GBE,FBSK
Selebi Phikwe Airport,PKW,FBSP
Maya-Maya Airport,BZV,FCBB
Owando Airport,FTX,FCOO
Ouesso Airport,OUE,FCOU
Pointe Noire Airport,PNR,FCPP
Matsapha Airport,MTS,FDMS
Bangui M'Poko International Airport,BGF,FEFF
Berbérati Airport,BBT,FEFT
Bata Airport,BSG,FGBT
Malabo Airport,SSG,FGSL
RAF Ascension Island,ASI,FHAW
Sir Seewoosagur Ramgoolam International Airport,MRU,FIMP
Sir Charles Gaetan Duval Airport,RRG,FIMR
Diego Garcia Naval Support Facility,NKW,FJDG
Tiko Airport,TKC,FKKC
Douala International Airport,DLA,FKKD
Salak Airport,MVR,FKKL
Foumban Nkounja Airport,FOM,FKKM
N'Gaoundéré Airport,NGE,FKKN
Garoua International Airport,GOU,FKKR
Bafoussam Airport,BFX,FKKU
Bamenda Airport,BPC,FKKV
Yaoundé Airport,YAO,FKKY
Kasompe Airport,CGJ,FLKE
Livingstone Airport,LVI,FLLI
Kenneth Kaunda International Airport Lusaka,LUN,FLLS
Mfuwe Airport,MFU,FLMF
Mongu Airport,MNR,FLMG
Simon Mwansa Kapwepwe International Airport,NLA,FLND
Southdowns Airport,KIW,FLSO
Prince Said Ibrahim International Airport,HAH,FMCH
Mohéli Bandar Es Eslam Airport,NWA,FMCI
Ouani Airport,AJN,FMCV
Dzaoudzi Pamandzi International Airport,DZA,FMCZ
Roland Garros Airport,RUN,FMEE
Pierrefonds Airport,ZSE,FMEP
Ivato Airport,TNR,FMMI
Miandrivazo Airport,ZVA,FMMN
Sainte Marie Airport,SMS,FMMS
Toamasina Airport,TMM,FMMT
Morondava Airport,MOQ,FMMV
Arrachart Airport,DIE,FMNA
Mananara Nord Airport,WMR,FMNC
Andapa Airport,ZWA,FMND
Ambilobe Airport,AMB,FMNE
Antsirabato Airport,ANM,FMNH
Analalava Airport,HVA,FMNL
Amborovy Airport,MJN,FMNM
Fascene Airport,NOS,FMNN
Besalampy Airport,BPY,FMNQ
Maroantsetra Airport,WMN,FMNR
Sambava Airport,SVB,FMNS
Vohimarina Airport,VOH,FMNV
Ambalabe Airport,WAI,FMNW
Ampampamena Airport,IVA,FMNZ
Tôlanaro Airport,FTU,FMSD
Fianarantsoa Airport,WFI,FMSF
Farafangana Airport,RVA,FMSG
Manakara Airport,WVK,FMSK
Mananjary Airport,MNJ,FMSM
Morombe Airport,MXM,FMSR
Toliara Airport,TLE,FMST
Mbanza Congo Airport,SSY,FNBC
Benguela Airport,BUG,FNBG
Cabinda Airport,CAB,FNCA
Nova Lisboa Airport,NOV,FNHU
Kuito Airport,SVP,FNKU
Lobito Airport,\N,FNLB
Quatro de Fevereiro Airport,LAD,FNLU
Malanje Airport,MEG,FNMA
Menongue Airport,SPP,FNME
Negage Airport,GXG,FNNG
Porto Amboim Airport,PBN,FNPA
Saurimo Airport,VHC,FNSA
Soyo Airport,SZA,FNSO
Lubango Airport,SDD,FNUB
Luena Airport,LUO,FNUE
Uige Airport,UGO,FNUG
Xangongo Airport,XGN,FNXA
Oyem Airport,OYE,FOGO
Okondja Airport,OKN,FOGQ
Lambarene Airport,LBQ,FOGR
Bitam Airport,BMM,FOOB
Port Gentil Airport,POG,FOOG
Omboue Hopital Airport,OMB,FOOH
Makokou Airport,MKU,FOOK
Libreville Leon M'ba International Airport,LBV,FOOL
M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB,FOON
Principe Airport,PCP,FPPR
São Tomé International Airport,TMS,FPST
Beira Airport,BEW,FQBR
Inhambane Airport,INH,FQIN
Lichinga Airport,VXC,FQLC
Lumbo Airport,LFB,FQLU
Maputo Airport,MPM,FQMA
Mueda Airport,MUD,FQMD
Mocímboa da Praia Airport,MZB,FQMP
Marrupa Airport,\N,FQMR
Nacala Airport,MNC,FQNC
Nampula Airport,APL,FQNP
Pemba Airport,POL,FQPB
Quelimane Airport,UEL,FQQL
Songo Airport,\N,FQSG
Chingozi Airport,TET,FQTT
Ulongwe Airport,\N,FQUG
Vilankulo Airport,VNX,FQVL
Alphonse Airport,\N,FSAL
Desroches Airport,DES,FSDR
Farquhar Airport,\N,FSFA
Seychelles International Airport,SEZ,FSIA
Praslin Airport,PRI,FSPP
Coetivy Airport,\N,FSSC
Abeche Airport,AEH,FTTC
Moundou Airport,MQQ,FTTD
N'Djamena International Airport,NDJ,FTTJ
Faya Largeau Airport,FYT,FTTY
Joshua Mqabuko Nkomo International Airport,BUQ,FVBU
Charles Prince Airport,\N,FVCP
Buffalo Range Airport,BFO,FVCZ
Victoria Falls International Airport,VFA,FVFA
Robert Gabriel Mugabe International Airport,HRE,FVHA
Kariba International Airport,KAB,FVKB
Mutoko Airport,\N,FVMT
Mutare Airport,UTA,FVMU
Masvingo International Airport,MVZ,FVMV
Zvishavane Airport,\N,FVSH
Thornhill Air Base,GWE,FVTL
Hwange National Park Airport,HWN,FVWN
Chileka International Airport,BLZ,FWCL
Karonga Airport,KGJ,FWKA
Kasungu Airport,KBQ,FWKG
Lilongwe International Airport,LLW,FWKI
Mzuzu Airport,ZZU,FWUU
Moshoeshoe I International Airport,MSU,FXMM
Mejametalana Airbase,\N,FXMU
Ndjili International Airport,FIH,FZAA
Ndolo Airport,NLO,FZAB
Muanda Airport,MNB,FZAG
Kitona Base Airport,\N,FZAI
Bandundu Airport,FDU,FZBO
Kikwit Airport,KKW,FZCA
Mbandaka Airport,MDK,FZEA
Gbadolite Airport,BDT,FZFD
Gemena Airport,GMA,FZFK
Kotakoli Airport,KLI,FZFP
Lisala Airport,LIQ,FZGA
Bangoka International Airport,FKI,FZIC
Matari Airport,IRP,FZJH
Bunia Airport,BUX,FZKA
Buta Zega Airport,BZU,FZKJ
Bukavu Kavumu Airport,BKY,FZMA
Goma International Airport,GOM,FZNA
Kindu Airport,KND,FZOA
Lubumbashi International Airport,FBM,FZQA
Kolwezi Airport,KWZ,FZQM
Kalemie Airport,FMI,FZRF
Kamina Base Airport,KMN,FZSA
Kananga Airport,KGA,FZUA
Mbuji Mayi Airport,MJM,FZWA
Modibo Keita International Airport,BKO,GABS
Gao Airport,GAQ,GAGO
Kayes Dag Dag Airport,KYS,GAKY
Mopti Airport,MZI,GAMB
Timbuktu Airport,TOM,GATB
Tessalit Airport,\N,GATS
Banjul International Airport,BJL,GBYD
Fuerteventura Airport,FUE,GCFV
Hierro Airport,VDE,GCHI
La Palma Airport,SPC,GCLA
Gran Canaria Airport,LPA,GCLP
Lanzarote Airport,ACE,GCRR
Tenerife South Airport,TFS,GCTS
Tenerife Norte Airport,TFN,GCXO
Melilla Airport,MLN,GEML
Lungi International Airport,FNA,GFLL
Cufar Airport,\N,GGCF
Spriggs Payne Airport,MLW,GLMR
Roberts International Airport,ROB,GLRB
Al Massira Airport,AGA,GMAD
Tan Tan Airport,TTA,GMAT
Saïss Airport,FEZ,GMFF
Ifrane Airport,\N,GMFI
Moulay Ali Cherif Airport,ERH,GMFK
Bassatine Airport,MEK,GMFM
Angads Airport,OUD,GMFO
Ben Slimane Airport,GMD,GMMB
Rabat-Salé Airport,RBA,GMME
Mohammed V International Airport,CMN,GMMN
Menara Airport,RAK,GMMX
Kenitra Airport,NNA,GMMY
Ouarzazate Airport,OZZ,GMMZ
Cherif Al Idrissi Airport,AHU,GMTA
Saniat R'mel Airport,TTU,GMTN
Ibn Batouta Airport,TNG,GMTT
Ziguinchor Airport,ZIG,GOGG
Cap Skirring Airport,CSK,GOGS
Kaolack Airport,KLC,GOOK
Léopold Sédar Senghor International Airport,DKR,GOOY
Saint Louis Airport,XLS,GOSS
Bakel Airport,BXE,GOTB
Kédougou Airport,KGG,GOTK
Tambacounda Airport,TUD,GOTT
Aioun el Atrouss Airport,AEO,GQNA
Tidjikja Airport,TIY,GQND
Kiffa Airport,KFA,GQNF
Néma Airport,EMN,GQNI
Kaédi Airport,KED,GQNK
Nouakchott–Oumtounsy International Airport,NKC,GQNO
Sélibaby Airport,SEY,GQNS
Atar International Airport,ATR,GQPA
Nouadhibou International Airport,NDB,GQPP
Bir Moghrein Airport,\N,GQPT
Fria Airport,FIG,GUFA
Faranah Airport,FAA,GUFH
Tata Airport,LEK,GULB
Amílcar Cabral International Airport,SID,GVAC
Rabil Airport,BVC,GVBA
Maio Airport,MMO,GVMA
Preguiça Airport,SNE,GVSN
São Pedro Airport,VXE,GVSV
Addis Ababa Bole International Airport,ADD,HAAB
Lideta Army Airport,\N,HAAL
Arba Minch Airport,AMH,HAAM
Axum Airport,AXU,HAAX
Bahir Dar Airport,BJR,HABD
Aba Tenna Dejazmach Yilma International Airport,DIR,HADR
Gambella Airport,GMB,HAGM
Gonder Airport,GDQ,HAGN
Jimma Airport,JIM,HAJM
Lalibella Airport,LLI,HALL
Mekele Airport,MQX,HAMK
Asosa Airport,ASO,HASO
Bujumbura International Airport,BJM,HBBA
Egal International Airport,HGA,HCMH
Berbera Airport,BBO,HCMI
Kisimayu Airport,KMU,HCMK
El Nouzha Airport,ALY,HEAX
Abu Simbel Airport,ABS,HEBL
Cairo International Airport,CAI,HECA
Cairo West Airport,CWE,HECW
Hurghada International Airport,HRG,HEGN
El Gora Airport,EGH,HEGR
Luxor International Airport,LXR,HELX
Mersa Matruh Airport,MUH,HEMM
Port Said Airport,PSD,HEPS
St Catherine International Airport,SKV,HESC
Aswan International Airport,ASW,HESN
El Tor Airport,ELT,HETR
Eldoret International Airport,EDL,HKEL
Kakamega Airport,GGM,HKKG
Kisumu Airport,KIS,HKKI
Kitale Airport,KTL,HKKT
Lodwar Airport,LOK,HKLO
Manda Airstrip,LAU,HKLU
Mombasa Moi International Airport,MBA,HKMO
Naivasha Airport,\N,HKNV
Nairobi Wilson Airport,WIL,HKNW
Moi Air Base,\N,HKRE
Wajir Airport,WJR,HKWJ
Bu Attifel Airport,\N,HLFL
Warehouse 59e Airport,\N,HLGL
Ghat Airport,GHT,HLGT
Kufra Airport,AKF,HLKF
Benina International Airport,BEN,HLLB
Sabha Airport,SEB,HLLS
Tripoli International Airport,TIP,HLLT
Marsa Brega Airport,LMQ,HLMB
Ras Lanuf Oil Airport,\N,HLNF
Hon Airport,HUQ,HLON
Dahra Airport,\N,HLRA
Ghadames East Airport,LTD,HLTD
Zella 74 Airport,\N,HLZA
Gisenyi Airport,GYI,HRYG
Kigali International Airport,KGL,HRYR
Kamembe Airport,KME,HRZA
Dongola Airport,DOG,HSDN
Damazin Airport,RSS,HSDZ
El Fasher Airport,ELF,HSFS
Kassala Airport,KSL,HSKA
Kadugli Airport,KDX,HSLI
El Obeid Airport,EBD,HSOB
Juba International Airport,JUB,HSSJ
Malakal Airport,MAK,HSSM
Khartoum International Airport,KRT,HSSS
Arusha Airport,ARK,HTAR
Julius Nyerere International Airport,DAR,HTDA
Dodoma Airport,DOD,HTDO
Iringa Airport,IRI,HTIR
Kilimanjaro International Airport,JRO,HTKJ
Lake Manyara Airport,LKY,HTLM
Mtwara Airport,MYW,HTMT
Mwanza Airport,MWZ,HTMW
Pemba Airport,PMA,HTPE
Tanga Airport,TGT,HTTG
Abeid Amani Karume International Airport,ZNZ,HTZA
Entebbe International Airport,EBB,HUEN
Soroti Airport,SRT,HUSO
Tirana International Airport Mother Teresa,TIA,LATI
Burgas Airport,BOJ,LBBG
Gorna Oryahovitsa Airport,GOZ,LBGO
Plovdiv International Airport,PDV,LBPD
Sofia Airport,SOF,LBSF
Stara Zagora Airport,SZR,LBSZ
Varna Airport,VAR,LBWN
Larnaca International Airport,LCA,LCLK
Paphos International Airport,PFO,LCPH
RAF Akrotiri,AKT,LCRA
Dubrovnik Airport,DBV,LDDU
Osijek-Čepin Airfield,\N,LDOC
Osijek Airport,OSI,LDOS
Pula Airport,PUY,LDPL
Grobnicko Polje Airport,\N,LDRG
Rijeka Airport,RJK,LDRI
Split Airport,SPU,LDSP
Varaždin Airport,\N,LDVA
Zagreb Airport,ZAG,LDZA
Zadar Airport,ZAD,LDZD
Udbina Air Base,\N,LDZU
Albacete-Los Llanos Airport,ABC,LEAB
Alicante International Airport,ALC,LEAL
Almería International Airport,LEI,LEAM
Asturias Airport,OVD,LEAS
Córdoba Airport,ODB,LEBA
Bilbao Airport,BIO,LEBB
Barcelona International Airport,BCN,LEBL
Badajoz Airport,BJZ,LEBZ
A Coruña Airport,LCG,LECO
Armilla Air Base,\N,LEGA
Girona Airport,GRO,LEGE
Federico Garcia Lorca Airport,GRX,LEGR
Getafe Air Base,\N,LEGT
Ibiza Airport,IBZ,LEIB
Jerez Airport,XRY,LEJR
San Javier Airport,MJV,LELC
Adolfo Suárez Madrid–Barajas Airport,MAD,LEMD
Málaga Airport,AGP,LEMG
Menorca Airport,MAH,LEMH
Moron Air Base,OZP,LEMO
Ocaña Airport,\N,LEOC
Pamplona Airport,PNA,LEPP
Alcantarilla Air Base,\N,LERI
Reus Air Base,REU,LERS
Rota Naval Station Airport,ROZ,LERT
Salamanca Airport,SLM,LESA
Son Bonet Airport,\N,LESB
San Luis Airport,\N,LESL
San Sebastian Airport,EAS,LESO
Santiago de Compostela Airport,SCQ,LEST
Pirineus - la Seu d'Urgel Airport,LEU,LESU
Torrejón Airport,TOJ,LETO
Valencia Airport,VLC,LEVC
Valladolid Airport,VLL,LEVD
Vitoria/Foronda Airport,VIT,LEVT
Vigo Airport,VGO,LEVX
Santander Airport,SDR,LEXJ
Zaragoza Air Base,ZAZ,LEZG
Sevilla Airport,SVQ,LEZL
Calais-Dunkerque Airport,CQF,LFAC
Péronne-Saint-Quentin Airport,\N,LFAG
Nangis-Les Loges Airport,\N,LFAI
Bagnoles-de-l'Orne-Couterne Airport,\N,LFAO
Albert-Bray Airport,BYF,LFAQ
Le Touquet-Côte d'Opale Airport,LTQ,LFAT
Valenciennes-Denain Airport,XVS,LFAV
Amiens-Glisy Airport,\N,LFAY
Agen-La Garenne Airport,AGF,LFBA
Cazaux (BA 120) Air Base,\N,LFBC
Bordeaux-Mérignac Airport,BOD,LFBD
Bergerac-Roumanière Airport,EGC,LFBE
Toulouse-Francazal (BA 101) Air Base,\N,LFBF
Cognac-Châteaubernard (BA 709) Air Base,CNG,LFBG
Poitiers-Biard Airport,PIS,LFBI
Montluçon-Guéret Airport,MCU,LFBK
Limoges Airport,LIG,LFBL
Mont-de-Marsan (BA 118) Air Base,\N,LFBM
Niort-Souché Airport,NIT,LFBN
Toulouse-Blagnac Airport,TLS,LFBO
Pau Pyrénées Airport,PUF,LFBP
Muret-Lherm Airport,\N,LFBR
Tarbes-Lourdes-Pyrénées Airport,LDE,LFBT
Angoulême-Brie-Champniers Airport,ANG,LFBU
Brive Souillac Airport,BVE,LFSL
Périgueux-Bassillac Airport,PGX,LFBX
Biarritz-Anglet-Bayonne Airport,BIQ,LFBZ
Cahors-Lalbenque Airport,ZAO,LFCC
Saint-Girons-Antichan Airport,\N,LFCG
Arcachon-La Teste-de-Buch Airport,\N,LFCH
Albi-Le Séquestre Airport,LBI,LFCI
Castres-Mazamet Airport,DCM,LFCK
Toulouse-Lasbordes Airport,\N,LFCL
Millau-Larzac Airfield,\N,LFCM
Graulhet-Montdragon Airport,\N,LFCQ
Rodez-Marcillac Airport,RDZ,LFCR
Ussel-Thalamy Airport,\N,LFCU
Villeneuve-sur-Lot Airport,\N,LFCW
Royan-Médis Airport,RYN,LFCY
Mimizan Airport,\N,LFCZ
Aire-sur-l'Adour Airport,\N,LFDA
Montauban Airport,XMW,LFDB
Auch-Lamothe Airport,\N,LFDH
Libourne-Artigues-de-Lussac Airport,\N,LFDI
Pamiers-Les Pujols Airport,\N,LFDJ
Marmande-Virazeil Airport,\N,LFDM
Rochefort-Saint-Agnant (BA 721) Airport,RCO,LFDN
Pontivy Airport,\N,LFED
Aubigny-sur-Nère Airport,\N,LFEH
Guiscriff Scaer Airport,\N,LFES
Ancenis Airport,\N,LFFI
Brienne-le-Château Airport,\N,LFFN
Colmar-Houssen Airport,CMR,LFGA
Beaune-Challanges Airport,\N,LFGF
Dole-Tavaux Airport,DLE,LFGJ
Joigny Airport,\N,LFGK
Verdun-Le Rozelier Airfield,\N,LFGW
Aubenas-Ardèche Méridional Airport,OBS,LFHO
Le Puy-Loudes Airport,LPY,LFHP
Saint-Flour-Coltines Airport,\N,LFHQ
Bourg-Ceyzériat Airport,\N,LFHS
Villefranche-Tarare Airport,\N,LFHV
Moulins-Montbeugny Airport,\N,LFHY
Saint-Affrique-Belmont Airport,\N,LFIF
Cassagnes-Bégonhès Airport,\N,LFIG
Metz-Nancy-Lorraine Airport,ETZ,LFJL
Bastia-Poretta Airport,BIA,LFKB
Calvi-Sainte-Catherine Airport,CLY,LFKC
Figari Sud-Corse Airport,FSC,LFKF
Ajaccio-Napoléon Bonaparte Airport,AJA,LFKJ
Propriano Airport,PRP,LFKO
Solenzara (BA 126) Air Base,SOZ,LFKS
Corte Airport,\N,LFKT
Auxerre-Branches Airport,AUF,LFLA
Chambéry-Savoie Airport,CMF,LFLB
Clermont-Ferrand Auvergne Airport,CFE,LFLC
Bourges Airport,BOU,LFLD
Chambéry-Challes-les-Eaux Airport,\N,LFLE
Chalon-Champforgeuil Airport,\N,LFLH
Annemasse Airport,QNJ,LFLI
Lyon Saint-Exupéry Airport,LYS,LFLL
Mâcon-Charnay Airport,\N,LFLM
Saint-Yan Airport,SYT,LFLN
Roanne-Renaison Airport,RNE,LFLO
Annecy-Haute-Savoie-Mont Blanc Airport,NCY,LFLP
Grenoble-Isère Airport,GNB,LFLS
Montluçon-Domérat Airport,\N,LFLT
Valence-Chabeuil Airport,VAF,LFLU
Vichy-Charmeil Airport,VHY,LFLV
Aurillac Airport,AUR,LFLW
"Châteauroux-Déols ""Marcel Dassault"" Airport",CHR,LFLX
Lyon-Bron Airport,LYN,LFLY
Aix-en-Provence (BA 114) Airport,\N,LFMA
Le Luc-Le Cannet Airport,\N,LFMC
Cannes-Mandelieu Airport,CEQ,LFMD
Saint-Étienne-Bouthéon Airport,EBU,LFMH
Istres Le Tubé/Istres Air Base (BA 125) Airport,\N,LFMI
Carcassonne Airport,CCF,LFMK
Marseille Provence Airport,MRS,LFML
Nice-Côte d'Azur Airport,NCE,LFMN
Orange-Caritat (BA 115) Air Base,XOG,LFMO
Perpignan-Rivesaltes (Llabanère) Airport,PGF,LFMP
Le Castellet Airport,CTT,LFMQ
Alès-Deaux Airport,\N,LFMS
Montpellier-Méditerranée Airport,MPL,LFMT
Béziers-Vias Airport,BZR,LFMU
Avignon-Caumont Airport,AVN,LFMV
Salon-de-Provence (BA 701) Air Base,\N,LFMY
Lézignan-Corbières Airfield,\N,LFMZ
Mende-Brenoux Airfield,MEN,LFNB
Carpentras Airport,\N,LFNH
Avord (BA 702) Air Base,\N,LFOA
Paris Beauvais Tillé Airport,BVA,LFOB
Châteaudun (BA 279) Air Base,\N,LFOC
Saumur-Saint-Florent Airport,\N,LFOD
Évreux-Fauville (BA 105) Air Base,EVX,LFOE
Le Havre Octeville Airport,LEH,LFOH
Abbeville,XAB,LFOI
Orléans-Bricy (BA 123) Air Base,ORE,LFOJ
Châlons-Vatry Airport,XCR,LFOK
Rouen Airport,URO,LFOP
Tours-Val-de-Loire Airport,TUF,LFOT
Cholet Le Pontreau Airport,CET,LFOU
Laval-Entrammes Airport,LVA,LFOV
Orléans-Saint-Denis-de-l'Hôtel Airport,\N,LFOZ
Paris-Le Bourget Airport,LBG,LFPB
Creil Air Base,CSF,LFPC
Charles de Gaulle International Airport,CDG,LFPG
Coulommiers-Voisins Airport,\N,LFPK
Melun-Villaroche Air Base,\N,LFPM
Toussus-le-Noble Airport,TNF,LFPN
Paris-Orly Airport,ORY,LFPO
Pontoise - Cormeilles-en-Vexin Airport,POX,LFPT
Villacoublay-Vélizy (BA 107) Air Base,VIY,LFPV
Reims-Prunay Airport,\N,LFQA
Troyes-Barberey Airport,\N,LFQB
Lunéville-Croismare Airport,\N,LFQC
Étain-Rouvres Air Base,\N,LFQE
Autun-Bellevue Airport,\N,LFQF
Nevers-Fourchambault Airport,NVS,LFQG
Cambrai-Épinoy (BA 103) Air Base,\N,LFQI
Maubeuge-Élesmes Airport,XME,LFQJ
Besançon-La Vèze Airport,\N,LFQM
Phalsbourg-Bourscheid Air Base,\N,LFQP
Lille-Lesquin Airport,LIL,LFQQ
Merville-Calonne Airport,HZB,LFQT
Charleville-Mézières Airport,XCZ,LFQV
Vesoul-Frotey Airport,\N,LFQW
Brest Bretagne Airport,BES,LFRB
Cherbourg-Maupertus Airport,CER,LFRC
Dinard-Pleurtuit-Saint-Malo Airport,DNR,LFRD
La Baule-Escoublac Airport,LBY,LFRE
Granville Airport,GFR,LFRF
Deauville-Saint-Gatien Airport,DOL,LFRG
Lorient South Brittany (Bretagne Sud) Airport,LRT,LFRH
La Roche-sur-Yon Airport,EDM,LFRI
Landivisiau Air Base,LDV,LFRJ
Caen-Carpiquet Airport,CFR,LFRK
Lanvéoc-Poulmic Air Base,\N,LFRL
Le Mans-Arnage Airport,LME,LFRM
Rennes-Saint-Jacques Airport,RNS,LFRN
Lannion-Côte de Granit Airport,LAI,LFRO
Quimper-Cornouaille Airport,UIP,LFRQ
Nantes Atlantique Airport,NTE,LFRS
Saint-Brieuc-Armor Airport,SBK,LFRT
Morlaix-Ploujean Airport,MXN,LFRU
Vannes-Meucon Airport,VNE,LFRV
Saint-Nazaire-Montoir Airport,SNR,LFRZ
EuroAirport Basel-Mulhouse-Freiburg Airport,BSL,LFSB
Colmar-Meyenheim Air Base,\N,LFSC
